scheduled_at_eest,hour,owner,channel,action,asset,mode,referral_code,referral_link,status,notes
2026-06-06 04:00 +0300,0,Memo,Campaign ops,Open posting log; confirm video + referral images from promo kit,promo-kit-manifest.md,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=campaign-ops&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_0,queued,
2026-06-06 04:00 +0300,0,Sienna,WhatsApp Status,Post story asset with video caption 1,media/worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_0,queued,
2026-06-06 05:00 +0300,1,Dexter,X / short feed,"Post football hook: pick 3 teams free first, then paid leaderboard with ticket.",worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_1,queued,
2026-06-06 06:00 +0300,2,Nano,WhatsApp personal,Send personal invite to warm contacts,worldcup26-main-video.mp4,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_2,queued,
2026-06-06 07:00 +0300,3,Sienna,Instagram/Facebook story,Story: Code 26BC4B90CB + link sticker,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_3,queued,
2026-06-06 07:20 +0300,live1,Dexter,X / live fallback,Publish public fallback while WhatsApp and Meta need manual proof,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-live-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_live1,queued,Owned fallback post for blocked private/story channels
2026-06-06 08:00 +0300,4,Dexter,Football groups,Ask approved group admin for permission; post group variant only if allowed,first-wave-posts.md,approval first,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_4,queued,
2026-06-06 09:00 +0300,5,Sienna,TikTok/Reels/Shorts,Upload main video with short caption and code in first line,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_5,queued,
2026-06-06 10:00 +0300,6,Memo,Ops check,"Log posts, replies, click/sign-up notes; identify best first channel",posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_6,queued,
2026-06-06 11:00 +0300,7,Nano,DM follow-up,Reply to first reactions and send the simple how-it-works answer,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_7,queued,
2026-06-06 12:00 +0300,8,Sienna,YouTube Shorts,Post main video as Shorts with code and link in description,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_8,queued,
2026-06-06 13:00 +0300,9,Dexter,Facebook profile/page,Publish simple rules feed post for friends and football contacts,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-profile-page&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_9,queued,
2026-06-06 14:00 +0300,10,Nano,Replies,Answer questions using reply bank; push code/link once per conversation,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_10,queued,
2026-06-06 15:00 +0300,11,Sienna,Instagram Story,Post referral story image with link sticker and code overlay,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_11,queued,
2026-06-06 16:00 +0300,12,Dexter,X / short feed,Favorites vs underdogs debate post,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_12,queued,
2026-06-06 17:00 +0300,13,Nano,WhatsApp personal,Send second warm-contact batch with main invite,worldcup26-main-video.mp4,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_13,queued,
2026-06-06 18:00 +0300,14,Memo,Ops check,Check posting log completeness and list top three replies to answer,posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_14,queued,
2026-06-06 19:00 +0300,15,Sienna,Facebook Reels,Upload main video as Reel with code in caption,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-reels&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_15,queued,
2026-06-06 20:00 +0300,16,Sienna,WhatsApp/Telegram groups,Community post variant if promo welcome,worldcup26-referral-story.jpg,approval first,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-telegram-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=sienna_16,queued,
2026-06-06 21:00 +0300,17,Dexter,Creator outreach,Send partner DM to football micro-creators,first-wave-posts.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_17,queued,
2026-06-06 22:00 +0300,18,Nano,Direct DMs,Send one-to-one invite to people who reacted to stories,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=direct-dms&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_18,queued,
2026-06-06 23:00 +0300,19,Sienna,TikTok/Reels/Shorts,Repost video with favorites-or-underdogs caption,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_19,queued,
2026-06-07 00:00 +0300,20,Memo,Ops check,"Summarize Day 1: posts, replies, joins observed, next 5 actions",posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_20,queued,
2026-06-07 01:00 +0300,21,Dexter,X / short feed,Post one-month free-preview then paid-leaderboard hook,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_21,queued,
2026-06-07 02:00 +0300,22,Nano,Community replies,Answer how many teams and why code matters,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_22,queued,
2026-06-07 03:00 +0300,23,Sienna,WhatsApp Status,Post status reminder with all-teams-available wording,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_23,queued,
2026-06-07 04:00 +0300,24,Dexter,Feed post,Social proof post: ask what 3 teams friends picked,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=feed-post&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_24,queued,
2026-06-07 05:00 +0300,25,Sienna,Instagram/Facebook story,Morning story: pick 3 teams free before they lock,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_25,queued,
2026-06-07 06:00 +0300,26,Nano,WhatsApp personal,Follow up with people who said later,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_26,queued,
2026-06-07 07:00 +0300,27,Sienna,YouTube Shorts,Upload video with simple rules description,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_27,queued,
2026-06-07 08:00 +0300,28,Dexter,Football groups,Ask group admin for approved reminder slot,first-wave-posts.md,approval first,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_28,queued,
2026-06-07 09:00 +0300,29,Memo,Ops check,Audit completed posts and add missing links to log,posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_29,queued,
2026-06-07 10:00 +0300,30,Nano,DM follow-up,Follow up with people who reacted but did not join,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_30,queued,
2026-06-07 11:00 +0300,31,Sienna,TikTok/Reels/Shorts,Post video with three-picks challenge caption,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_31,queued,
2026-06-07 12:00 +0300,32,Dexter,X / short feed,Post favorites/underdogs poll with referral link,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_32,queued,
2026-06-07 13:00 +0300,33,Dexter,Creator outreach,Send partner DM to football micro-creators,first-wave-posts.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_33,queued,
2026-06-07 14:00 +0300,34,Sienna,Facebook profile/page,Post friendly community caption with referral card,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-profile-page&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_34,queued,
2026-06-07 15:00 +0300,35,Nano,Replies,"Answer objections: is it hard, how to start, why code",copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_35,queued,
2026-06-07 16:00 +0300,36,Memo,Ops check,Update channel performance and pending replies,posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_36,queued,
2026-06-07 17:00 +0300,37,Sienna,Instagram Story,Story: code + link sticker + pick-three-team prompt,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_37,queued,
2026-06-07 18:00 +0300,38,Dexter,X / short feed,Post risk multiplier hook without fixed prize claim,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_38,queued,
2026-06-07 19:00 +0300,39,Nano,WhatsApp/Telegram personal,Ask joined users to send their three picks back,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_39,queued,
2026-06-07 20:00 +0300,40,Sienna,Video repost,Repost video with new caption and first comment link/code,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=video-repost&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_40,queued,
2026-06-07 21:00 +0300,41,Dexter,Discord/community,Ask moderator first; post only in promo-friendly channel,first-wave-posts.md,approval first,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=discord-community&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_41,queued,
2026-06-07 22:00 +0300,42,Nano,Replies,Reply bank sweep across all open conversations,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_42,queued,
2026-06-07 23:00 +0300,43,Memo,Ops check,List channels with permission granted and blocked channels to avoid,partner-targets-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_43,queued,
2026-06-08 00:00 +0300,44,Nano,Community replies,"Reply to objections: how it works, code, 3 picks",copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_44,queued,
2026-06-08 01:00 +0300,45,Sienna,WhatsApp Status,Status: friends football group angle,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_45,queued,
2026-06-08 02:00 +0300,46,Dexter,X / short feed,Post direct CTA with ask to quote reply three teams,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_46,queued,
2026-06-08 03:00 +0300,47,Sienna,TikTok/Reels/Shorts,Post video with football-friends caption,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_47,queued,
2026-06-08 04:00 +0300,48,Dexter,Feed post,Direct CTA: Join with code 26BC4B90CB,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=feed-post&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_48,queued,
2026-06-08 05:00 +0300,49,Nano,DM follow-up,Follow up once with people who opened but did not answer,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_49,queued,
2026-06-08 06:00 +0300,50,Sienna,Instagram/Facebook story,Story poll: favorites or underdogs + link sticker,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_50,queued,
2026-06-08 07:00 +0300,51,Memo,Ops check,Check if any copy claims a fixed prize; remove fixed amount before posting,copy-bank.md,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_51,queued,
2026-06-08 08:00 +0300,52,Sienna,Story/status,"All teams still available / pick before locks, verify before posting",worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=story-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_52,queued,
2026-06-08 09:00 +0300,53,Dexter,Football groups,Second approved admin post/reminder where allowed,first-wave-posts.md,approval first,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_53,queued,
2026-06-08 10:00 +0300,54,Nano,WhatsApp personal,Invite warm-contact batch with simple personal message,worldcup26-main-video.mp4,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_54,queued,
2026-06-08 11:00 +0300,55,Sienna,YouTube Shorts,Post video with code and short description,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_55,queued,
2026-06-08 12:00 +0300,56,Memo,Ops check,Choose best two channels and double posting cadence there,posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_56,queued,
2026-06-08 13:00 +0300,57,Dexter,X / short feed,Post late-night simple rules recap,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_57,queued,
2026-06-08 14:00 +0300,58,Nano,Replies,Answer late replies and resend link once if requested,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_58,queued,
2026-06-08 15:00 +0300,59,Sienna,Facebook Reels,Repost main video with friends-angle caption,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-reels&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_59,queued,
2026-06-08 16:00 +0300,60,Dexter,Football groups,Approved reminder only where prior permission exists,first-wave-posts.md,approval first,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_60,queued,
2026-06-08 17:00 +0300,61,Nano,Direct DMs,Ask interested contacts if they want the invite link again,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=direct-dms&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_61,queued,
2026-06-08 18:00 +0300,62,Sienna,Instagram Story,Story: three-pick challenge + link sticker,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_62,queued,
2026-06-08 19:00 +0300,63,Memo,Ops check,Prepare final-day push list from best channels and replies,posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_63,queued,
2026-06-08 20:00 +0300,64,Nano,Warm contacts,Ask joined users to invite 3 friends,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=warm-contacts&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_64,queued,
2026-06-08 21:00 +0300,65,Dexter,X / short feed,Post final-day football challenge hook,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_65,queued,
2026-06-08 22:00 +0300,66,Sienna,TikTok/Reels/Shorts,Final-day video push with code in caption,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_66,queued,
2026-06-08 23:00 +0300,67,Nano,Replies,Reply to all pending questions before final wave,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_67,queued,
2026-06-09 00:00 +0300,68,Sienna,Video final push,Final 72h push video post with code/link,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=video-final-push&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_68,queued,
2026-06-09 01:00 +0300,69,Dexter,Facebook profile/page,Final friendly feed reminder with referral image,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-profile-page&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_69,queued,
2026-06-09 02:00 +0300,70,Nano,WhatsApp/Telegram personal,Final personal reminder to warm contacts,copy-bank.md,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_70,queued,
2026-06-09 03:00 +0300,71,Sienna,Instagram/Facebook story,Final story reminder with code overlay,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_71,queued,
2026-06-09 04:00 +0300,72,Memo,Campaign report,"Export log; summarize posts, replies, signups observed, best copy",posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=campaign-report&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_72,queued,
