scheduled_at_eest,owner,channel,mode,asset,tracked_link,primary_copy,first_comment,status
2026-06-06 08:00 +0300,Dexter,Football groups,approval first,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h4,"For football fans here:

WorldCup26 is a prediction game where you pick 3 teams free first and see your private points preview.

Paid leaderboard entry happens only when you use a ticket.

My invite code: 26BC4B90CB
Join here:
https://worldcup26.world/login?ref=26BC4B90CB","Use only where group rules allow promo links. If unsure, ask the group admin before posting.",ready
2026-06-06 13:00 +0300,Dexter,Facebook profile/page,manual post,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-profile-page&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h9,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-06 21:00 +0300,Dexter,Creator outreach,manual outreach,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h17,"Hey - I am promoting WorldCup26, a World Cup prediction game where users pick 3 teams free first, see a private points preview, and can use a ticket later for the paid leaderboard.

I have a video, captions, and a referral link ready:
https://worldcup26.world/login?ref=26BC4B90CB

Code: 26BC4B90CB

Would you be open to one approved post or story for your football audience?",Follow up once after 24 hours if they react but do not answer.,ready
2026-06-07 01:00 +0300,Dexter,X / short feed,manual post,media/worldcup26-referral-16x9.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h21,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-07 04:00 +0300,Dexter,Feed post,manual post,media/worldcup26-referral-16x9.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=feed-post&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h24,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-07 08:00 +0300,Dexter,Football groups,approval first,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h28,"For football fans here:

WorldCup26 is a prediction game where you pick 3 teams free first and see your private points preview.

Paid leaderboard entry happens only when you use a ticket.

My invite code: 26BC4B90CB
Join here:
https://worldcup26.world/login?ref=26BC4B90CB","Use only where group rules allow promo links. If unsure, ask the group admin before posting.",ready
2026-06-07 12:00 +0300,Dexter,X / short feed,manual post,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h32,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-07 13:00 +0300,Dexter,Creator outreach,manual outreach,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h33,"Hey - I am promoting WorldCup26, a World Cup prediction game where users pick 3 teams free first, see a private points preview, and can use a ticket later for the paid leaderboard.

I have a video, captions, and a referral link ready:
https://worldcup26.world/login?ref=26BC4B90CB

Code: 26BC4B90CB

Would you be open to one approved post or story for your football audience?",Follow up once after 24 hours if they react but do not answer.,ready
2026-06-06 04:00 +0300,Sienna,WhatsApp Status,manual post,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h0,"I invited you to WorldCup26.

Pick 3 teams for free, see your private points preview, and use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB

The event has not started yet, so all teams are still available right now.","If they ask what to do: Sign in, use the code, save 3 picks for free, then use a ticket later only if they want the paid leaderboard.",ready
2026-06-06 07:00 +0300,Sienna,Instagram/Facebook story,manual post,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h3,"Pick 3 teams before they lock.

Watch your private points preview move with every match.

Paid leaderboard entry happens only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB","Code: 26BC4B90CB
Join: https://worldcup26.world/login?ref=26BC4B90CB",ready
2026-06-06 09:00 +0300,Sienna,TikTok/Reels/Shorts,manual post,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h5,"Pick 3 teams before they lock.

Watch your private points preview move with every match.

Paid leaderboard entry happens only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB","Code: 26BC4B90CB
Join: https://worldcup26.world/login?ref=26BC4B90CB",ready
2026-06-06 12:00 +0300,Sienna,YouTube Shorts,manual post,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h8,"Pick 3 teams before they lock.

Watch your private points preview move with every match.

Paid leaderboard entry happens only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB","Code: 26BC4B90CB
Join: https://worldcup26.world/login?ref=26BC4B90CB",ready
2026-06-06 15:00 +0300,Sienna,Instagram Story,manual post,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h11,"Pick 3 teams before they lock.

Watch your private points preview move with every match.

Paid leaderboard entry happens only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB","Code: 26BC4B90CB
Join: https://worldcup26.world/login?ref=26BC4B90CB",ready
2026-06-06 19:00 +0300,Sienna,Facebook Reels,manual post,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-reels&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h15,"Pick 3 teams before they lock.

Watch your private points preview move with every match.

Paid leaderboard entry happens only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB","Code: 26BC4B90CB
Join: https://worldcup26.world/login?ref=26BC4B90CB",ready
2026-06-06 20:00 +0300,Sienna,WhatsApp/Telegram groups,approval first,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-telegram-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h16,"I invited you to WorldCup26.

Pick 3 teams for free, see your private points preview, and use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB

The event has not started yet, so all teams are still available right now.","If they ask what to do: Sign in, use the code, save 3 picks for free, then use a ticket later only if they want the paid leaderboard.",ready
2026-06-06 23:00 +0300,Sienna,TikTok/Reels/Shorts,manual post,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h19,"Pick 3 teams before they lock.

Watch your private points preview move with every match.

Paid leaderboard entry happens only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB","Code: 26BC4B90CB
Join: https://worldcup26.world/login?ref=26BC4B90CB",ready
2026-06-07 00:00 +0300,Memo,Ops check,internal,campaign/posting-log-template.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h20,"Campaign ops check for WorldCup26.

Referral code: 26BC4B90CB
Referral link: https://worldcup26.world/login?ref=26BC4B90CB

Verify the current assets:
- media/worldcup26-main-video.mp4
- media/worldcup26-referral-story.jpg
- media/worldcup26-referral-16x9.jpg
- runtime/outbox-ready.csv

Next action: Summarize Day 1: posts, replies, joins observed, next 5 actions","Update runtime/posting-log-live.csv after each manual post, reply, or outreach. Track channel, copy used, asset, and next follow-up.",ready
2026-06-07 09:00 +0300,Memo,Ops check,internal,campaign/posting-log-template.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h29,"Campaign ops check for WorldCup26.

Referral code: 26BC4B90CB
Referral link: https://worldcup26.world/login?ref=26BC4B90CB

Verify the current assets:
- media/worldcup26-main-video.mp4
- media/worldcup26-referral-story.jpg
- media/worldcup26-referral-16x9.jpg
- runtime/outbox-ready.csv

Next action: Audit completed posts and add missing links to log","Update runtime/posting-log-live.csv after each manual post, reply, or outreach. Track channel, copy used, asset, and next follow-up.",ready
2026-06-07 16:00 +0300,Memo,Ops check,internal,campaign/posting-log-template.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h36,"Campaign ops check for WorldCup26.

Referral code: 26BC4B90CB
Referral link: https://worldcup26.world/login?ref=26BC4B90CB

Verify the current assets:
- media/worldcup26-main-video.mp4
- media/worldcup26-referral-story.jpg
- media/worldcup26-referral-16x9.jpg
- runtime/outbox-ready.csv

Next action: Update channel performance and pending replies","Update runtime/posting-log-live.csv after each manual post, reply, or outreach. Track channel, copy used, asset, and next follow-up.",ready
2026-06-07 23:00 +0300,Memo,Ops check,internal,campaign/partner-targets-template.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h43,"Campaign ops check for WorldCup26.

Referral code: 26BC4B90CB
Referral link: https://worldcup26.world/login?ref=26BC4B90CB

Verify the current assets:
- media/worldcup26-main-video.mp4
- media/worldcup26-referral-story.jpg
- media/worldcup26-referral-16x9.jpg
- runtime/outbox-ready.csv

Next action: List channels with permission granted and blocked channels to avoid","Update runtime/posting-log-live.csv after each manual post, reply, or outreach. Track channel, copy used, asset, and next follow-up.",ready
2026-06-08 07:00 +0300,Memo,Ops check,internal,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h51,"Campaign ops check for WorldCup26.

Referral code: 26BC4B90CB
Referral link: https://worldcup26.world/login?ref=26BC4B90CB

Verify the current assets:
- media/worldcup26-main-video.mp4
- media/worldcup26-referral-story.jpg
- media/worldcup26-referral-16x9.jpg
- runtime/outbox-ready.csv

Next action: Check if any copy claims a fixed prize; remove fixed amount before posting","Update runtime/posting-log-live.csv after each manual post, reply, or outreach. Track channel, copy used, asset, and next follow-up.",ready
2026-06-06 06:00 +0300,Nano,WhatsApp personal,manual outreach,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_h2,"I invited you to WorldCup26.

Pick 3 teams for free, see your private points preview, and use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB

The event has not started yet, so all teams are still available right now.","If they ask what to do: Sign in, use the code, save 3 picks for free, then use a ticket later only if they want the paid leaderboard.",ready
2026-06-06 11:00 +0300,Nano,DM follow-up,manual replies,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_h7,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Use code 26BC4B90CB here:
https://worldcup26.world/login?ref=26BC4B90CB",If they ask why the code matters: it connects the account to the invite. Code 26BC4B90CB.,ready
2026-06-06 14:00 +0300,Nano,Replies,manual replies,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_h10,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Use code 26BC4B90CB here:
https://worldcup26.world/login?ref=26BC4B90CB",If they ask why the code matters: it connects the account to the invite. Code 26BC4B90CB.,ready
2026-06-06 17:00 +0300,Nano,WhatsApp personal,manual outreach,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_h13,"I invited you to WorldCup26.

Pick 3 teams for free, see your private points preview, and use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB

The event has not started yet, so all teams are still available right now.","If they ask what to do: Sign in, use the code, save 3 picks for free, then use a ticket later only if they want the paid leaderboard.",ready
2026-06-06 22:00 +0300,Nano,Direct DMs,manual outreach,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=direct-dms&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_h18,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Use code 26BC4B90CB here:
https://worldcup26.world/login?ref=26BC4B90CB",If they ask why the code matters: it connects the account to the invite. Code 26BC4B90CB.,ready
2026-06-07 02:00 +0300,Nano,Community replies,manual replies,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=community-replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_h22,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Use code 26BC4B90CB here:
https://worldcup26.world/login?ref=26BC4B90CB",If they ask why the code matters: it connects the account to the invite. Code 26BC4B90CB.,ready
2026-06-07 06:00 +0300,Nano,WhatsApp personal,manual outreach,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_h26,"I invited you to WorldCup26.

Pick 3 teams for free, see your private points preview, and use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB

The event has not started yet, so all teams are still available right now.","If they ask what to do: Sign in, use the code, save 3 picks for free, then use a ticket later only if they want the paid leaderboard.",ready
2026-06-07 10:00 +0300,Nano,DM follow-up,manual outreach,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_h30,"Quick version: you pick 3 World Cup teams for free first. They score from real results and you can see your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Use code 26BC4B90CB here:
https://worldcup26.world/login?ref=26BC4B90CB",If they ask why the code matters: it connects the account to the invite. Code 26BC4B90CB.,ready
